CustomerId,Surname,Geography,Gender,Age,EstimatedSalary
15634602,Hargrave,France,Female,42,101348.88
15647311,Hill,Spain,Female,41,112542.58
15619304,Onio,France,Female,42,113931.57
15701354,Boni,France,Female,39,93826.63
15737888,Mitchell,Spain,Female,43,79084.1
15574012,Chu,Spain,Male,44,149756.71
15592531,Bartlett,France,Male,50,10062.8
15656148,Obinna,Germany,Female,29,119346.88
15792365,He,France,Male,44,74940.5
15592389,H?,France,Male,27,71725.73
15767821,Bearce,France,Male,31,80181.12
15737173,Andrews,Spain,Male,24,76390.01
15632264,Kay,France,Female,34,26260.98
15691483,Chin,France,Female,25,190857.79
15600882,Scott,Spain,Female,35,65951.65
15643966,Goforth,Germany,Male,45,64327.26
15737452,Romeo,Germany,Male,58,5097.67
15788218,Henderson,Spain,Female,24,14406.41
15661507,Muldrow,Spain,Male,45,158684.81
15568982,Hao,France,Female,24,54724.03
15577657,McDonald,France,Male,41,170886.17
15597945,Dellucci,Spain,Female,32,138555.46
15699309,Gerasimov,Spain,Female,38,118913.53
15725737,Mosman,France,Male,46,8487.75
15625047,Yen,France,Female,38,187616.16
15738191,Maclean,France,Male,25,124508.29
15736816,Young,Germany,Male,36,170041.95
15700772,Nebechi,France,Male,44,38433.35
15728693,McWilliams,Germany,Female,43,100187.43
15656300,Lucciano,France,Male,29,53483.21
15589475,Azikiwe,Spain,Female,39,140469.38
15706552,Odinakachukwu,France,Male,36,156731.91
15750181,Sanderson,Germany,Male,41,81898.81
15659428,Maggard,Spain,Female,42,34410.55
15732963,Clements,Spain,Female,29,142033.07
15794171,Lombardo,France,Female,45,27822.99
15788448,Watson,Spain,Male,31,114066.77
15729599,Lorenzo,Spain,Male,33,98453.45
15717426,Armstrong,France,Male,36,40812.9
15585768,Cameron,Germany,Male,41,178074.04
15619360,Hsiao,Spain,Male,40,70154.22
15738148,Clarke,France,Female,51,181297.65
15687946,Osborne,France,Female,61,94153.83
15755196,Lavine,France,Female,49,194365.76
15684171,Bianchi,Spain,Female,61,158338.39
15754849,Tyler,Germany,Female,32,126517.46
15602280,Martin,Germany,Female,27,119708.21
15771573,Okagbue,Germany,Female,39,117622.8
15766205,Yin,Germany,Male,38,90878.13
15771873,Buccho,Germany,Female,37,194099.12
15616550,Chidiebele,Germany,Male,44,198059.16
15768193,Trevisani,Germany,Male,36,86424.57
15683553,O'Brien,France,Female,33,116978.19
15702298,Parkhill,Germany,Male,41,164040.94
15569590,Yoo,Germany,Male,42,40014.76
15760861,Phillipps,France,Male,43,113410.49
15630053,Tsao,France,Male,45,87107.57
15647091,Endrizzi,Germany,Male,19,45613.75
15623944,T'ien,Spain,Female,66,1643.11
15804771,Velazquez,France,Male,51,46775.28
15651280,Hunter,Germany,Male,35,84509.57
15773469,Clark,Germany,Female,27,126494.82
15702014,Jeffrey,Spain,Male,33,178798.13
15751208,Pirozzi,Spain,Male,56,99398.36
15592461,Jackson,Germany,Male,26,92840.67
15789484,Hammond,Germany,Female,36,27758.36
15696061,Brownless,Germany,Female,34,110431.51
15641582,Chibugo,Germany,Male,43,196673.28
15638424,Glauert,Germany,Female,35,113656.85
15755648,Pisano,France,Female,21,18203
15703793,Konovalova,Germany,Male,58,28373.86
15620344,McKee,France,Male,29,33953.87
15812518,Palermo,Spain,Female,37,44203.55
15779052,Ballard,Germany,Female,25,58426.81
15770811,Wallace,France,Male,36,145562.4
15780961,Cavenagh,France,Female,21,22388
15614049,Hu,France,Male,55,139161.64
15662085,Read,France,Female,32,148210.64
15575185,Bushell,Spain,Male,33,194239.63
15803136,Postle,Germany,Female,41,98301.61
15706021,Buley,France,Female,34,171413.66
15663706,Leonard,France,Female,32,136458.19
15641732,Mills,France,Female,36,26019.59
15805254,Ndukaku,Spain,Female,75,114675.75
15762418,Gant,Spain,Male,22,128643.35
15625759,Rowley,France,Male,30,151869.35
